"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"5yrs_2011_2015"	"Colon and Rectum"	"Non-Hispanic Asian or Pacific Islander"	31.630	0.202	31.235	32.029	25831	89620887
"Male and female"	"5yrs_2011_2015"	"Colon and Rectum"	"Hispanic (All Races)"	35.372	0.154	35.072	35.674	58715	269669753
"Male and female"	"5yrs_2011_2015"	"Colon and Rectum"	"Non-Hispanic Unknown Race"	 	 	 	 	4781	0
"Male and female"	"5yrs_2011_2015"	"Liver and Intrahepatic Bile Duct"	"AllRaceEth"	8.239	0.021	8.197	8.280	155347	1580646413
"Male and female"	"5yrs_2011_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic White"	6.806	0.022	6.763	6.851	96226	1003847879
"Male and female"	"5yrs_2011_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Black"	10.989	0.076	10.841	11.139	22476	204301883
"Male and female"	"5yrs_2011_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic American Indian/Alaska Native"	13.850	0.355	13.164	14.563	1712	13206011
"Male and female"	"5yrs_2011_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Asian or Pacific Islander"	13.479	0.132	13.222	13.740	11042	89620887
"Male and female"	"5yrs_2011_2015"	"Liver and Intrahepatic Bile Duct"	"Hispanic (All Races)"	13.669	0.094	13.486	13.855	23237	269669753
"Male and female"	"5yrs_2011_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Unknown Race"	 	 	 	 	654	0
"Male and female"	"5yrs_2011_2015"	"Pancreas"	"AllRaceEth"	12.772	0.027	12.719	12.825	230640	1580646413
"Male and female"	"5yrs_2011_2015"	"Pancreas"	"Non-Hispanic White"	12.693	0.031	12.632	12.753	175967	1003847879
"Male and female"	"5yrs_2011_2015"	"Pancreas"	"Non-Hispanic Black"	16.056	0.099	15.862	16.251	28184	204301883
"Male and female"	"5yrs_2011_2015"	"Pancreas"	"Non-Hispanic American Indian/Alaska Native"	11.112	0.339	10.457	11.796	1209	13206011
"Male and female"	"5yrs_2011_2015"	"Pancreas"	"Non-Hispanic Asian or Pacific Islander"	9.493	0.115	9.269	9.720	7231	89620887
"Male and female"	"5yrs_2011_2015"	"Pancreas"	"Hispanic (All Races)"	11.327	0.090	11.151	11.505	17302	269669753
"Male and female"	"5yrs_2011_2015"	"Pancreas"	"Non-Hispanic Unknown Race"	 	 	 	 	747	0
"Male and female"	"5yrs_2011_2015"	"Larynx"	"AllRaceEth"	3.405	0.014	3.378	3.432	63350	1580646413
"Male and female"	"5yrs_2011_2015"	"Larynx"	"Non-Hispanic White"	3.525	0.016	3.493	3.557	49101	1003847879
"Male and female"	"5yrs_2011_2015"	"Larynx"	"Non-Hispanic Black"	4.547	0.050	4.449	4.647	8747	204301883
"Male and female"	"5yrs_2011_2015"	"Larynx"	"Non-Hispanic American Indian/Alaska Native"	2.960	0.165	2.646	3.300	360	13206011
"Male and female"	"5yrs_2011_2015"	"Larynx"	"Non-Hispanic Asian or Pacific Islander"	1.097	0.038	1.024	1.174	886	89620887
"Male and female"	"5yrs_2011_2015"	"Larynx"	"Hispanic (All Races)"	2.421	0.040	2.343	2.501	3966	269669753
"Male and female"	"5yrs_2011_2015"	"Larynx"	"Non-Hispanic Unknown Race"	 	 	 	 	290	0
"Male and female"	"5yrs_2011_2015"	"Lung and Bronchus"	"AllRaceEth"	60.907	0.059	60.791	61.023	1099021	1580646413
"Male and female"	"5yrs_2011_2015"	"Lung and Bronchus"	"Non-Hispanic White"	65.007	0.070	64.871	65.143	901134	1003847879
"Male and female"	"5yrs_2011_2015"	"Lung and Bronchus"	"Non-Hispanic Black"	64.421	0.197	64.035	64.809	114717	204301883
"Male and female"	"5yrs_2011_2015"	"Lung and Bronchus"	"Non-Hispanic American Indian/Alaska Native"	59.033	0.786	57.502	60.592	6319	13206011
"Male and female"	"5yrs_2011_2015"	"Lung and Bronchus"	"Non-Hispanic Asian or Pacific Islander"	35.905	0.222	35.472	36.342	27642	89620887
"Male and female"	"5yrs_2011_2015"	"Lung and Bronchus"	"Hispanic (All Races)"	31.510	0.152	31.213	31.809	46488	269669753
"Male and female"	"5yrs_2011_2015"	"Lung and Bronchus"	"Non-Hispanic Unknown Race"	 	 	 	 	2721	0
"Male and female"	"5yrs_2011_2015"	"Melanoma of the Skin"	"AllRaceEth"	21.611	0.036	21.541	21.681	378048	1580646413
"Male and female"	"5yrs_2011_2015"	"Melanoma of the Skin"	"Non-Hispanic White"	27.872	0.049	27.777	27.968	353359	1003847879
"Male and female"	"5yrs_2011_2015"	"Melanoma of the Skin"	"Non-Hispanic Black"	1.046	0.025	0.997	1.096	1840	204301883
"Male and female"	"5yrs_2011_2015"	"Melanoma of the Skin"	"Non-Hispanic American Indian/Alaska Native"	8.585	0.291	8.024	9.174	967	13206011
"Male and female"	"5yrs_2011_2015"	"Melanoma of the Skin"	"Non-Hispanic Asian or Pacific Islander"	1.407	0.042	1.326	1.492	1174	89620887
"Male and female"	"5yrs_2011_2015"	"Melanoma of the Skin"	"Hispanic (All Races)"	4.652	0.054	4.547	4.759	8363	269669753
"Male and female"	"5yrs_2011_2015"	"Melanoma of the Skin"	"Non-Hispanic Unknown Race"	 	 	 	 	12345	0
"Male and female"	"5yrs_2011_2015"	"Breast"	"AllRaceEth"	67.572	0.063	67.448	67.696	1195250	1580646413
"Male and female"	"5yrs_2011_2015"	"Breast"	"Non-Hispanic White"	69.577	0.076	69.428	69.725	904567	1003847879
"Male and female"	"5yrs_2011_2015"	"Breast"	"Non-Hispanic Black"	72.909	0.203	72.511	73.309	136191	204301883
"Male and female"	"5yrs_2011_2015"	"Breast"	"Non-Hispanic American Indian/Alaska Native"	56.290	0.726	54.877	57.730	6620	13206011
"Male and female"	"5yrs_2011_2015"	"Breast"	"Non-Hispanic Asian or Pacific Islander"	52.598	0.249	52.111	53.089	46212	89620887
"Male and female"	"5yrs_2011_2015"	"Breast"	"Hispanic (All Races)"	51.369	0.175	51.027	51.712	94989	269669753
"Male and female"	"5yrs_2011_2015"	"Breast"	"Non-Hispanic Unknown Race"	 	 	 	 	6671	0
"Male and female"	"5yrs_2011_2015"	"Cervix Uteri"	"AllRaceEth"	3.920	0.016	3.889	3.951	63299	1580646413
"Male and female"	"5yrs_2011_2015"	"Cervix Uteri"	"Non-Hispanic White"	3.615	0.019	3.577	3.653	38702	1003847879
"Male and female"	"5yrs_2011_2015"	"Cervix Uteri"	"Non-Hispanic Black"	5.123	0.053	5.018	5.229	9620	204301883
"Male and female"	"5yrs_2011_2015"	"Cervix Uteri"	"Non-Hispanic American Indian/Alaska Native"	5.087	0.213	4.677	5.522	605	13206011
"Male and female"	"5yrs_2011_2015"	"Cervix Uteri"	"Non-Hispanic Asian or Pacific Islander"	3.390	0.063	3.268	3.515	3025	89620887
"Male and female"	"5yrs_2011_2015"	"Cervix Uteri"	"Hispanic (All Races)"	5.033	0.051	4.934	5.133	10794	269669753
"Male and female"	"5yrs_2011_2015"	"Cervix Uteri"	"Non-Hispanic Unknown Race"	 	 	 	 	553	0
"Male and female"	"5yrs_2011_2015"	"Corpus and Uterus, NOS"	"AllRaceEth"	14.003	0.028	13.948	14.058	259481	1580646413
"Male and female"	"5yrs_2011_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic White"	14.170	0.033	14.105	14.235	194918	1003847879
"Male and female"	"5yrs_2011_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic Black"	15.044	0.092	14.865	15.226	28586	204301883
"Male and female"	"5yrs_2011_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic American Indian/Alaska Native"	12.423	0.330	11.786	13.086	1547	13206011
"Male and female"	"5yrs_2011_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic Asian or Pacific Islander"	10.455	0.110	10.241	10.673	9410	89620887
"Male and female"	"5yrs_2011_2015"	"Corpus and Uterus, NOS"	"Hispanic (All Races)"	12.365	0.085	12.200	12.532	23320	269669753
"Male and female"	"5yrs_2011_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic Unknown Race"	 	 	 	 	1700	0
"Male and female"	"5yrs_2011_2015"	"Ovary"	"AllRaceEth"	6.164	0.019	6.127	6.202	109091	1580646413
"Male and female"	"5yrs_2011_2015"	"Ovary"	"Non-Hispanic White"	6.350	0.023	6.305	6.394	82914	1003847879
"Male and female"	"5yrs_2011_2015"	"Ovary"	"Non-Hispanic Black"	5.411	0.056	5.301	5.522	9922	204301883
"Male and female"	"5yrs_2011_2015"	"Ovary"	"Non-Hispanic American Indian/Alaska Native"	6.092	0.240	5.631	6.580	714	13206011
"Male and female"	"5yrs_2011_2015"	"Ovary"	"Non-Hispanic Asian or Pacific Islander"	5.273	0.079	5.118	5.430	4613	89620887
"Male and female"	"5yrs_2011_2015"	"Ovary"	"Hispanic (All Races)"	5.608	0.058	5.494	5.723	10409	269669753
"Male and female"	"5yrs_2011_2015"	"Ovary"	"Non-Hispanic Unknown Race"	 	 	 	 	519	0
"Male and female"	"5yrs_2011_2015"	"Prostate"	"AllRaceEth"	51.577	0.053	51.473	51.681	980900	1580646413
"Male and female"	"5yrs_2011_2015"	"Prostate"	"Non-Hispanic White"	49.100	0.059	48.984	49.216	710524	1003847879
"Male and female"	"5yrs_2011_2015"	"Prostate"	"Non-Hispanic Black"	78.996	0.208	78.589	79.405	154187	204301883
"Male and female"	"5yrs_2011_2015"	"Prostate"	"Non-Hispanic American Indian/Alaska Native"	36.773	0.594	35.618	37.954	4289	13206011
"Male and female"	"5yrs_2011_2015"	"Prostate"	"Non-Hispanic Asian or Pacific Islander"	25.952	0.183	25.595	26.313	21261	89620887
"Male and female"	"5yrs_2011_2015"	"Prostate"	"Hispanic (All Races)"	42.645	0.169	42.314	42.977	68735	269669753
"Male and female"	"5yrs_2011_2015"	"Prostate"	"Non-Hispanic Unknown Race"	 	 	 	 	21904	0
"Male and female"	"5yrs_2011_2015"	"Testis"	"AllRaceEth"	2.812	0.014	2.786	2.840	42855	1580646413
"Male and female"	"5yrs_2011_2015"	"Testis"	"Non-Hispanic White"	3.490	0.020	3.451	3.529	32197	1003847879
"Male and female"	"5yrs_2011_2015"	"Testis"	"Non-Hispanic Black"	0.730	0.020	0.692	0.769	1445	204301883
"Male and female"	"5yrs_2011_2015"	"Testis"	"Non-Hispanic American Indian/Alaska Native"	3.044	0.155	2.748	3.363	402	13206011
"Male and female"	"5yrs_2011_2015"	"Testis"	"Non-Hispanic Asian or Pacific Islander"	0.971	0.032	0.910	1.036	954	89620887
"Male and female"	"5yrs_2011_2015"	"Testis"	"Hispanic (All Races)"	2.456	0.030	2.399	2.515	7248	269669753
"Male and female"	"5yrs_2011_2015"	"Testis"	"Non-Hispanic Unknown Race"	 	 	 	 	609	0
"Male and female"	"5yrs_2011_2015"	"Urinary Bladder"	"AllRaceEth"	20.728	0.035	20.660	20.796	370016	1580646413
"Male and female"	"5yrs_2011_2015"	"Urinary Bladder"	"Non-Hispanic White"	23.255	0.042	23.173	23.337	321428	1003847879
"Male and female"	"5yrs_2011_2015"	"Urinary Bladder"	"Non-Hispanic Black"	12.082	0.087	11.911	12.255	20368	204301883
"Male and female"	"5yrs_2011_2015"	"Urinary Bladder"	"Non-Hispanic American Indian/Alaska Native"	12.863	0.377	12.135	13.620	1310	13206011
"Male and female"	"5yrs_2011_2015"	"Urinary Bladder"	"Non-Hispanic Asian or Pacific Islander"	8.694	0.111	8.478	8.913	6492	89620887
"Male and female"	"5yrs_2011_2015"	"Urinary Bladder"	"Hispanic (All Races)"	11.442	0.092	11.262	11.624	16572	269669753
"Male and female"	"5yrs_2011_2015"	"Urinary Bladder"	"Non-Hispanic Unknown Race"	 	 	 	 	3846	0
"Male and female"	"5yrs_2011_2015"	"Kidney and Renal Pelvis"	"AllRaceEth"	16.628	0.031	16.567	16.689	297597	1580646413
"Male and female"	"5yrs_2011_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic White"	16.793	0.037	16.721	16.866	222005	1003847879
"Male and female"	"5yrs_2011_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic Black"	18.702	0.103	18.501	18.905	35261	204301883
"Male and female"	"5yrs_2011_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic American Indian/Alaska Native"	22.124	0.451	21.248	23.026	2640	13206011
"Male and female"	"5yrs_2011_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic Asian or Pacific Islander"	7.996	0.101	7.800	8.196	6648	89620887
"Male and female"	"5yrs_2011_2015"	"Kidney and Renal Pelvis"	"Hispanic (All Races)"	16.608	0.101	16.409	16.807	29681	269669753
"Male and female"	"5yrs_2011_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic Unknown Race"	 	 	 	 	1362	0
"Male and female"	"5yrs_2011_2015"	"Brain and Other Nervous System"	"AllRaceEth"	6.642	0.020	6.602	6.681	112904	1580646413
"Male and female"	"5yrs_2011_2015"	"Brain and Other Nervous System"	"Non-Hispanic White"	7.520	0.026	7.468	7.572	89078	1003847879
"Male and female"	"5yrs_2011_2015"	"Brain and Other Nervous System"	"Non-Hispanic Black"	4.238	0.048	4.144	4.333	8196	204301883
"Male and female"	"5yrs_2011_2015"	"Brain and Other Nervous System"	"Non-Hispanic American Indian/Alaska Native"	4.923	0.209	4.521	5.351	603	13206011
"Male and female"	"5yrs_2011_2015"	"Brain and Other Nervous System"	"Non-Hispanic Asian or Pacific Islander"	3.820	0.068	3.687	3.956	3264	89620887
"Male and female"	"5yrs_2011_2015"	"Brain and Other Nervous System"	"Hispanic (All Races)"	5.189	0.053	5.085	5.295	11112	269669753
"Male and female"	"5yrs_2011_2015"	"Brain and Other Nervous System"	"Non-Hispanic Unknown Race"	 	 	 	 	651	0
"Male and female"	"5yrs_2011_2015"	"Thyroid"	"AllRaceEth"	14.603	0.030	14.543	14.662	241050	1580646413
"Male and female"	"5yrs_2011_2015"	"Thyroid"	"Non-Hispanic White"	15.729	0.039	15.652	15.807	174293	1003847879
"Male and female"	"5yrs_2011_2015"	"Thyroid"	"Non-Hispanic Black"	9.519	0.072	9.379	9.660	18439	204301883
"Male and female"	"5yrs_2011_2015"	"Thyroid"	"Non-Hispanic American Indian/Alaska Native"	11.716	0.317	11.103	12.354	1453	13206011
"Male and female"	"5yrs_2011_2015"	"Thyroid"	"Non-Hispanic Asian or Pacific Islander"	15.768	0.133	15.509	16.031	14481	89620887
"Male and female"	"5yrs_2011_2015"	"Thyroid"	"Hispanic (All Races)"	13.461	0.082	13.301	13.622	29845	269669753
"Male and female"	"5yrs_2011_2015"	"Thyroid"	"Non-Hispanic Unknown Race"	 	 	 	 	2539	0
"Male and female"	"5yrs_2011_2015"	"Hodgkin Lymphoma"	"AllRaceEth"	2.709	0.013	2.683	2.735	43556	1580646413
"Male and female"	"5yrs_2011_2015"	"Hodgkin Lymphoma"	"Non-Hispanic White"	2.941	0.017	2.907	2.975	30367	1003847879
"Male and female"	"5yrs_2011_2015"	"Hodgkin Lymphoma"	"Non-Hispanic Black"	2.781	0.038	2.708	2.857	5629	204301883
"Male and female"	"5yrs_2011_2015"	"Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	1.676	0.120	1.449	1.928	212	13206011
"Male and female"	"5yrs_2011_2015"	"Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	1.289	0.038	1.215	1.366	1177	89620887
"Male and female"	"5yrs_2011_2015"	"Hodgkin Lymphoma"	"Hispanic (All Races)"	2.444	0.035	2.376	2.514	5719	269669753
"Male and female"	"5yrs_2011_2015"	"Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	452	0
"Male and female"	"5yrs_2011_2015"	"Non-Hodgkin Lymphoma"	"AllRaceEth"	19.657	0.034	19.591	19.724	346347	1580646413
"Male and female"	"5yrs_2011_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic White"	20.564	0.041	20.485	20.644	272122	1003847879
"Male and female"	"5yrs_2011_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Black"	14.691	0.092	14.512	14.872	27238	204301883
"Male and female"	"5yrs_2011_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	15.002	0.388	14.250	15.782	1668	13206011
"Male and female"	"5yrs_2011_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	13.455	0.132	13.197	13.717	10898	89620887
"Male and female"	"5yrs_2011_2015"	"Non-Hodgkin Lymphoma"	"Hispanic (All Races)"	17.935	0.108	17.724	18.149	30843	269669753
"Male and female"	"5yrs_2011_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	3578	0
"Male and female"	"5yrs_2011_2015"	"Myeloma"	"AllRaceEth"	6.988	0.020	6.949	7.028	125432	1580646413
"Male and female"	"5yrs_2011_2015"	"Myeloma"	"Non-Hispanic White"	6.172	0.022	6.130	6.215	84772	1003847879
"Male and female"	"5yrs_2011_2015"	"Myeloma"	"Non-Hispanic Black"	14.145	0.093	13.964	14.328	24993	204301883
"Male and female"	"5yrs_2011_2015"	"Myeloma"	"Non-Hispanic American Indian/Alaska Native"	6.437	0.257	5.942	6.960	702	13206011
"Male and female"	"5yrs_2011_2015"	"Myeloma"	"Non-Hispanic Asian or Pacific Islander"	3.967	0.072	3.827	4.112	3164	89620887
"Male and female"	"5yrs_2011_2015"	"Myeloma"	"Hispanic (All Races)"	6.884	0.069	6.749	7.021	10904	269669753
"Male and female"	"5yrs_2011_2015"	"Myeloma"	"Non-Hispanic Unknown Race"	 	 	 	 	897	0
"Male and female"	"5yrs_2011_2015"	"Leukemias"	"AllRaceEth"	14.839	0.030	14.781	14.898	257430	1580646413
"Male and female"	"5yrs_2011_2015"	"Leukemias"	"Non-Hispanic White"	15.677	0.036	15.607	15.748	201911	1003847879
"Male and female"	"5yrs_2011_2015"	"Leukemias"	"Non-Hispanic Black"	11.515	0.082	11.354	11.677	20848	204301883
"Male and female"	"5yrs_2011_2015"	"Leukemias"	"Non-Hispanic American Indian/Alaska Native"	11.689	0.336	11.041	12.365	1348	13206011
"Male and female"	"5yrs_2011_2015"	"Leukemias"	"Non-Hispanic Asian or Pacific Islander"	8.267	0.103	8.066	8.471	6752	89620887
"Male and female"	"5yrs_2011_2015"	"Leukemias"	"Hispanic (All Races)"	11.767	0.084	11.603	11.933	23415	269669753
"Male and female"	"5yrs_2011_2015"	"Leukemias"	"Non-Hispanic Unknown Race"	 	 	 	 	3156	0
"Male and female"	"5yrs_2011_2015"	"Mesothelioma"	"AllRaceEth"	0.950	0.007	0.935	0.965	16616	1580646413
"Male and female"	"5yrs_2011_2015"	"Mesothelioma"	"Non-Hispanic White"	1.056	0.009	1.039	1.074	14363	1003847879
"Male and female"	"5yrs_2011_2015"	"Mesothelioma"	"Non-Hispanic Black"	0.466	0.017	0.433	0.501	778	204301883
"Male and female"	"5yrs_2011_2015"	"Mesothelioma"	"Non-Hispanic American Indian/Alaska Native"	0.679	0.089	0.515	0.874	65	13206011
"Male and female"	"5yrs_2011_2015"	"Mesothelioma"	"Non-Hispanic Asian or Pacific Islander"	0.331	0.022	0.290	0.375	247	89620887
"Male and female"	"5yrs_2011_2015"	"Mesothelioma"	"Hispanic (All Races)"	0.736	0.023	0.691	0.782	1117	269669753
"Male and female"	"5yrs_2011_2015"	"Mesothelioma"	"Non-Hispanic Unknown Race"	 	 	 	 	46	0
"Male and female"	"5yrs_2011_2015"	"Kaposi Sarcoma"	"AllRaceEth"	0.375	0.005	0.365	0.384	5959	1580646413
"Male and female"	"5yrs_2011_2015"	"Kaposi Sarcoma"	"Non-Hispanic White"	0.232	0.005	0.223	0.242	2626	1003847879
"Male and female"	"5yrs_2011_2015"	"Kaposi Sarcoma"	"Non-Hispanic Black"	0.860	0.021	0.819	0.903	1685	204301883
"Male and female"	"5yrs_2011_2015"	"Kaposi Sarcoma"	"Non-Hispanic American Indian/Alaska Native"	0.281	0.053	0.187	0.405	31	13206011
"Male and female"	"5yrs_2011_2015"	"Kaposi Sarcoma"	"Non-Hispanic Asian or Pacific Islander"	0.184	0.015	0.156	0.216	158	89620887
"Male and female"	"5yrs_2011_2015"	"Kaposi Sarcoma"	"Hispanic (All Races)"	0.619	0.019	0.582	0.656	1263	269669753
"Male and female"	"5yrs_2011_2015"	"Kaposi Sarcoma"	"Non-Hispanic Unknown Race"	 	 	 	 	196	0
"Male and female"	"10yrs_2006_2015"	"All Sites"	"AllRaceEth"	469.211	0.119	468.978	469.444	15966054	3100450170
"Male and female"	"10yrs_2006_2015"	"All Sites"	"Non-Hispanic White"	484.231	0.140	483.957	484.506	12468051	2002218178
"Male and female"	"10yrs_2006_2015"	"All Sites"	"Non-Hispanic Black"	487.540	0.388	486.780	488.301	1679584	397516242
"Male and female"	"10yrs_2006_2015"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	401.395	1.469	398.521	404.284	84148	25838572
"Male and female"	"10yrs_2006_2015"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	306.566	0.470	305.646	307.489	451036	166567270
"Male and female"	"10yrs_2006_2015"	"All Sites"	"Hispanic (All Races)"	368.372	0.366	367.655	369.090	1141889	508309908
"Male and female"	"10yrs_2006_2015"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	141346	0
"Male and female"	"10yrs_2006_2015"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.531	0.018	11.495	11.567	400965	3100450170
"Male and female"	"10yrs_2006_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	12.469	0.022	12.425	12.512	325442	2002218178
"Male and female"	"10yrs_2006_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	9.623	0.053	9.520	9.727	35256	397516242
"Male and female"	"10yrs_2006_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	9.781	0.219	9.356	10.220	2225	25838572
"Male and female"	"10yrs_2006_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.013	0.074	7.869	8.159	12376	166567270
"Male and female"	"10yrs_2006_2015"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.252	0.051	7.153	7.352	22879	508309908
"Male and female"	"10yrs_2006_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	2787	0
"Male and female"	"10yrs_2006_2015"	"Esophagus"	"AllRaceEth"	4.755	0.012	4.732	4.779	164997	3100450170
"Male and female"	"10yrs_2006_2015"	"Esophagus"	"Non-Hispanic White"	5.089	0.014	5.062	5.117	135936	2002218178
"Male and female"	"10yrs_2006_2015"	"Esophagus"	"Non-Hispanic Black"	4.706	0.038	4.631	4.781	16265	397516242
"Male and female"	"10yrs_2006_2015"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.234	0.153	3.940	4.543	874	25838572
"Male and female"	"10yrs_2006_2015"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.258	0.041	2.178	2.341	3155	166567270
"Male and female"	"10yrs_2006_2015"	"Esophagus"	"Hispanic (All Races)"	2.932	0.034	2.866	2.999	8232	508309908
"Male and female"	"10yrs_2006_2015"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	535	0
"Male and female"	"10yrs_2006_2015"	"Stomach"	"AllRaceEth"	6.705	0.014	6.677	6.733	226924	3100450170
"Male and female"	"10yrs_2006_2015"	"Stomach"	"Non-Hispanic White"	5.476	0.015	5.447	5.505	143666	2002218178
"Male and female"	"10yrs_2006_2015"	"Stomach"	"Non-Hispanic Black"	10.849	0.060	10.732	10.967	35013	397516242
"Male and female"	"10yrs_2006_2015"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	8.217	0.217	7.796	8.653	1611	25838572
"Male and female"	"10yrs_2006_2015"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	11.293	0.093	11.111	11.477	15544	166567270
"Male and female"	"10yrs_2006_2015"	"Stomach"	"Hispanic (All Races)"	10.308	0.063	10.185	10.432	29951	508309908
"Male and female"	"10yrs_2006_2015"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	1139	0
"Male and female"	"10yrs_2006_2015"	"Colon and Rectum"	"AllRaceEth"	42.296	0.036	42.226	42.366	1436113	3100450170
"Male and female"	"10yrs_2006_2015"	"Colon and Rectum"	"Non-Hispanic White"	41.902	0.041	41.822	41.982	1090731	2002218178
"Male and female"	"10yrs_2006_2015"	"Colon and Rectum"	"Non-Hispanic Black"	50.838	0.127	50.590	51.088	170683	397516242
"Male and female"	"10yrs_2006_2015"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	42.872	0.488	41.921	43.838	8744	25838572
"Male and female"	"10yrs_2006_2015"	"Colon and Rectum"	"Non-Hispanic Asian or Pacific Islander"	33.597	0.157	33.289	33.907	48382	166567270
"Male and female"	"10yrs_2006_2015"	"Colon and Rectum"	"Hispanic (All Races)"	37.264	0.119	37.031	37.497	108887	508309908
"Male and female"	"10yrs_2006_2015"	"Colon and Rectum"	"Non-Hispanic Unknown Race"	 	 	 	 	8686	0
"Male and female"	"10yrs_2006_2015"	"Liver and Intrahepatic Bile Duct"	"AllRaceEth"	7.653	0.015	7.624	7.682	270842	3100450170
"Male and female"	"10yrs_2006_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic White"	6.259	0.015	6.229	6.290	168205	2002218178
"Male and female"	"10yrs_2006_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Black"	10.283	0.054	10.178	10.390	38638	397516242
"Male and female"	"10yrs_2006_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic American Indian/Alaska Native"	12.653	0.253	12.162	13.159	2836	25838572
"Male and female"	"10yrs_2006_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Asian or Pacific Islander"	13.928	0.101	13.731	14.127	20297	166567270
"Male and female"	"10yrs_2006_2015"	"Liver and Intrahepatic Bile Duct"	"Hispanic (All Races)"	13.147	0.069	13.011	13.283	39745	508309908
"Male and female"	"10yrs_2006_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Unknown Race"	 	 	 	 	1121	0
"Male and female"	"10yrs_2006_2015"	"Pancreas"	"AllRaceEth"	12.486	0.019	12.448	12.524	426748	3100450170
"Male and female"	"10yrs_2006_2015"	"Pancreas"	"Non-Hispanic White"	12.360	0.022	12.317	12.402	329007	2002218178
"Male and female"	"10yrs_2006_2015"	"Pancreas"	"Non-Hispanic Black"	15.889	0.072	15.748	16.032	51529	397516242
"Male and female"	"10yrs_2006_2015"	"Pancreas"	"Non-Hispanic American Indian/Alaska Native"	10.533	0.247	10.055	11.027	2074	25838572
"Male and female"	"10yrs_2006_2015"	"Pancreas"	"Non-Hispanic Asian or Pacific Islander"	9.334	0.086	9.167	9.504	12510	166567270
"Male and female"	"10yrs_2006_2015"	"Pancreas"	"Hispanic (All Races)"	11.234	0.067	11.102	11.367	30362	508309908
"Male and female"	"10yrs_2006_2015"	"Pancreas"	"Non-Hispanic Unknown Race"	 	 	 	 	1266	0
"Male and female"	"10yrs_2006_2015"	"Larynx"	"AllRaceEth"	3.612	0.010	3.592	3.632	126908	3100450170
"Male and female"	"10yrs_2006_2015"	"Larynx"	"Non-Hispanic White"	3.703	0.012	3.680	3.727	98741	2002218178
"Male and female"	"10yrs_2006_2015"	"Larynx"	"Non-Hispanic Black"	4.935	0.038	4.861	5.011	17604	397516242
"Male and female"	"10yrs_2006_2015"	"Larynx"	"Non-Hispanic American Indian/Alaska Native"	3.200	0.128	2.954	3.461	700	25838572
